Version;Filename;LOC_Added;LOC_deleted;Set_size;Author
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieWriteLedgerTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerRecoveryTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/RoundRobinDistributionScheduleTest.java;0;1;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/SlowBookieTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;23;21;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestLedgerChecker.java;20;18;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestLedgerFragmentReplication.java;22;20;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestRackawareEnsemblePlacementPolicy.java;9;9;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestSpeculativeRead.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestTryReadLastConfirmed.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestWatchEnsembleChange.java;12;10;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;4;2;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerIteratorTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;25;27;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/TestMetaStore.java;3;5;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestDeathwatcher.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestPerChannelBookieClient.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorBookieTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorLedgerCheckerTest.java;3;1;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicCheckTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorRollingRestartTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AutoRecoveryMainTest.java;2;1;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieAutoRecoveryTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieLedgerIndexTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestAutoRecoveryAlongWithBookieServers.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestReplicationWorker.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java;5;11;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;7;5;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;3;2;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;4;2;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;2;6;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;0;1;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;3;5;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;4;3;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;3;3;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/MultipleThreadReadTest.java;2;0;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ReadOnlyBookieTest.java;2;0;77;Flavio Paiva Junqueira
7;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;0;51;77;Flavio Paiva Junqueira
