Version;Filename;LOC_touched;LOC_added;MAXLOC_added;AVGLOC_added;churn;MAX_churn;AVG_churn;Change_setsize;MAXChange_setsize;AVGChange_setsize;Buggy
3;tajo-common/src/main/java/org/apache/tajo/QueryVars.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/QueryVars.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/QueryVars.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;4;2;2;2;0;0;0;72;72;72;no
5;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;2;1;1;1;0;0;0;4;4;4;no
1;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;4;3;2;1;2;2;1;101;97;50;no
3;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;2;1;1;1;0;0;0;3;3;3;no
4;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;5;4;2;1;3;2;1;86;72;28;no
5;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/TaskAttemptId.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/TaskAttemptId.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/TaskAttemptId.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/TaskAttemptId.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/TaskAttemptId.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-common/src/main/java/org/apache/tajo/TaskId.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-common/src/main/java/org/apache/tajo/TaskId.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-common/src/main/java/org/apache/tajo/TaskId.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-common/src/main/java/org/apache/tajo/TaskId.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-common/src/main/java/org/apache/tajo/TaskId.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-core-tests/src/test/java/org/apache/tajo/TestQueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-core-tests/src/test/java/org/apache/tajo/TestQueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-core-tests/src/test/java/org/apache/tajo/TestQueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-core-tests/src/test/java/org/apache/tajo/TestQueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-core-tests/src/test/java/org/apache/tajo/TestQueryIdFactory.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-core-tests/src/test/java/org/apache/tajo/TestTajoIds.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-core-tests/src/test/java/org/apache/tajo/TestTajoIds.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-core-tests/src/test/java/org/apache/tajo/TestTajoIds.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-core-tests/src/test/java/org/apache/tajo/TestTajoIds.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-core-tests/src/test/java/org/apache/tajo/TestTajoIds.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java;34;10;7;5;-14;0;-7;37;23;18;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTable.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTable.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTable.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTable.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTable.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTableOpType.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTableOpType.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTableOpType.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTableOpType.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTableOpType.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespace.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespace.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespace.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespace.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespace.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespaceSetType.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespaceSetType.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespaceSetType.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespaceSetType.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/AlterTablespaceSetType.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
