Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,3,0.75,0.015887997483089507,0.008494572911750826,NaiveBayes,No Sampling,No Feature Selection,10.0,43.0,2058.0,8.0,0.18867924528301888,0.5555555555555556,0.8743587709556296,0.2724634949273271
bookkeeper,3,0.75,0.015887997483089507,0.008494572911750826,RandomForest,No Sampling,No Feature Selection,4.0,23.0,2078.0,14.0,0.14814814814814814,0.2222222222222222,0.9246390607647152,0.16931015119248394
bookkeeper,3,0.75,0.015887997483089507,0.008494572911750826,IBk,No Sampling,Feature Selection,5.0,11.0,2090.0,13.0,0.3125,0.2777777777777778,0.4494817282775398,0.28842871134741677
bookkeeper,3,0.75,0.015887997483089507,0.008494572911750826,NaiveBayes,No Sampling,Feature Selection,6.0,17.0,2084.0,12.0,0.2608695652173913,0.3333333333333333,0.8502432704003384,0.28587697993050876
bookkeeper,3,0.75,0.015887997483089507,0.008494572911750826,RandomForest,No Sampling,Feature Selection,5.0,14.0,2087.0,13.0,0.2631578947368421,0.2777777777777778,0.8255856999312496,0.2638479651050572
bookkeeper,3,0.08703145196036191,0.5,0.008494572911750826,IBk,UnderSampling,No Feature Selection,8.0,44.0,2057.0,10.0,0.15384615384615385,0.4444444444444444,0.7245755989211486,0.21871116634120333
bookkeeper,3,0.08703145196036191,0.5,0.008494572911750826,NaiveBayes,UnderSampling,No Feature Selection,11.0,44.0,2057.0,7.0,0.2,0.6111111111111112,0.8792770638320376,0.2923114199087153
bookkeeper,3,0.08703145196036191,0.5,0.008494572911750826,RandomForest,UnderSampling,No Feature Selection,14.0,66.0,2035.0,4.0,0.175,0.7777777777777778,0.8812734676609022,0.27566875994960627
bookkeeper,3,0.08703145196036191,0.5,0.008494572911750826,IBk,UnderSampling,Feature Selection,13.0,45.0,2056.0,5.0,0.22413793103448276,0.7222222222222222,0.8503887037918452,0.33346334834797264
bookkeeper,3,0.08703145196036191,0.5,0.008494572911750826,NaiveBayes,UnderSampling,Feature Selection,7.0,20.0,2081.0,11.0,0.25925925925925924,0.3888888888888889,0.8231794383626845,0.30401661316127204
