Version;Filename;LOC_Added;LOC_deleted;Set_size;Author
4;tajo-plan/src/main/java/org/apache/tajo/plan/serder/PlanGsonHelper.java;2;0;72;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/util/PlannerUtil.java;4;0;72;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/TextSerializerDeserializer.java;3;4;72;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/CSVLineDeserializer.java;1;1;72;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/CSVLineSerializer.java;1;1;72;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/TextFieldSerializerDeserializer.java;38;8;72;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/GlobalEngine.java;4;4;10;Jihoon Son
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestGroupByQuery.java;21;0;10;Jihoon Son
4;tajo-plan/src/main/java/org/apache/tajo/plan/LogicalPlanner.java;7;0;10;Jihoon Son
4;tajo-core/src/test/java/org/apache/tajo/client/TestTajoClient.java;32;5;4;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/LogicalPlanner.java;16;4;4;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/util/PlannerUtil.java;17;0;4;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/TajoConstants.java;1;1;6;JaeHwa Jung
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestCaseByCases.java;8;0;5;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/DelimitedTextFile.java;12;7;5;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestInsertQuery.java;22;0;6;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/verifier/PreLogicalPlanVerifier.java;38;26;6;Hyunsik Choi
4;tajo-jdbc/src/main/java/org/apache/tajo/jdbc/JdbcConnection.java;10;3;3;Hyunsik Choi
4;tajo-jdbc/src/main/java/org/apache/tajo/jdbc/TajoStatement.java;4;3;3;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java;10;2;9;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/GlobalEngine.java;2;5;9;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/TajoMaster.java;1;1;9;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/querymaster/Query.java;56;18;9;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/querymaster/QueryMasterTask.java;18;5;9;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestCTASQuery.java;1;0;9;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestInsertQuery.java;13;1;9;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/text/ByteBufLineReader.java;19;3;8;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/storage/TestLineReader.java;31;1;8;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/storage/TestStorages.java;1;1;8;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/storage/avro/TestAvroUtil.java;1;1;8;jhkim
4;tajo-catalog/tajo-catalog-drivers/tajo-hcatalog/src/main/java/org/apache/tajo/catalog/store/HCatalogStore.java;2;1;2;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/Task.java;3;1;2;jhkim
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCli.java;5;0;11;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/TajoMaster.java;21;8;11;jhkim
4;tajo-core/src/main/java/org/apache/tajo/scheduler/SimpleFifoScheduler.java;1;1;11;jhkim
4;tajo-core/src/main/java/org/apache/tajo/util/history/HistoryWriter.java;2;0;11;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/TajoWorker.java;3;9;11;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/TaskRunnerManager.java;4;3;11;jhkim
4;tajo-core/src/test/java/org/apache/tajo/TajoTestingCluster.java;19;0;11;jhkim
4;tajo-core/src/test/java/org/apache/tajo/cli/tsql/TestTajoCli.java;14;8;11;jhkim
4;tajo-core/src/test/java/org/apache/tajo/master/ha/TestHAServiceHDFSImpl.java;23;18;11;jhkim
4;tajo-yarn-pullserver/src/main/java/org/apache/tajo/pullserver/TajoPullServerService.java;1;1;11;jhkim
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestTablePartitions.java;142;90;1;JaeHwa Jung
4;tajo-common/src/main/java/org/apache/tajo/datum/DateDatum.java;1;10;5;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/datum/IntervalDatum.java;0;1;5;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/datum/TimeDatum.java;0;4;5;Hyunsik Choi
4;tajo-common/src/test/java/org/apache/tajo/datum/TestIntervalDatum.java;4;4;5;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/PhysicalPlanUtil.java;51;14;8;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/SeqScanExec.java;6;1;8;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/worker/TajoWorkerClientService.java;9;7;8;Hyunsik Choi
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestTablePartitions.java;56;0;8;Hyunsik Choi
4;tajo-rpc/src/main/java/org/apache/tajo/rpc/RemoteCallException.java;5;1;8;Hyunsik Choi
4;tajo-common/src/test/java/org/apache/tajo/datum/TestTimestampDatum.java;2;1;2;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCli.java;7;6;2;Hyunsik Choi
4;tajo-storage/src/main/java/org/apache/tajo/storage/avro/AvroUtil.java;30;5;6;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/HttpFileServer.java;84;0;6;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/HttpFileServerHandler.java;184;0;6;jhkim
4;tajo-storage/src/test/java/org/apache/tajo/HttpFileServerPipelineFactory.java;54;0;6;jhkim
