Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
tajo,1,0.002145922746781116,0.5,0.004838709677419355,NaiveBayes,UnderSampling,Feature Selection,3.0,56.0,1795.0,6.0,0.05084745762711865,0.3333333333333333,0.6511795425895912,0.08051475864708478
tajo,1,0.002145922746781116,0.5,0.004838709677419355,RandomForest,UnderSampling,Feature Selection,3.0,57.0,1794.0,6.0,0.05,0.3333333333333333,0.6510594873641875,0.07920792079208085
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,SMOTE,No Feature Selection,0.0,2.0,1849.0,9.0,0.0,0.0,0.5,-0.0017626321974022763
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,SMOTE,No Feature Selection,3.0,44.0,1807.0,6.0,0.06382978723404255,0.3333333333333333,0.6566720691518099,0.09983158139264849
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,SMOTE,No Feature Selection,0.0,1.0,1850.0,9.0,0.0,0.0,0.6380635092142386,-9.686793671225923E-4
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,SMOTE,Feature Selection,0.0,8.0,1843.0,9.0,0.0,0.0,0.6488084518878684,-0.0045749142203624854
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,SMOTE,Feature Selection,1.0,39.0,1812.0,8.0,0.025,0.1111111111111111,0.6500390179482562,0.03317850033178299
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,SMOTE,Feature Selection,0.0,4.0,1847.0,9.0,0.0,0.0,0.5485323248694399,-0.002986560477844387
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,OverSampling,No Feature Selection,0.0,5.0,1846.0,9.0,0.0,0.0,0.5730235908517918,-0.0034682080924905113
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,OverSampling,No Feature Selection,3.0,41.0,1810.0,6.0,0.06818181818181818,0.3333333333333333,0.6449666846749504,0.10602527917535973
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,OverSampling,No Feature Selection,0.0,8.0,1843.0,9.0,0.0,0.0,0.6522900534245754,-0.0045749142203624854
tajo,1,0.6664275466284074,0.5,0.004838709677419355,IBk,OverSampling,Feature Selection,0.0,0.0,1851.0,9.0,0.0,0.0,0.5,0.0
tajo,1,0.6664275466284074,0.5,0.004838709677419355,NaiveBayes,OverSampling,Feature Selection,0.0,0.0,1851.0,9.0,0.0,0.0,0.5,0.0
tajo,1,0.6664275466284074,0.5,0.004838709677419355,RandomForest,OverSampling,Feature Selection,0.0,0.0,1851.0,9.0,0.0,0.0,0.5,0.0
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,IBk,No Sampling,No Feature Selection,5.0,3.0,1830.0,22.0,0.625,0.18518518518518517,0.591774261987028,0.2809426609760623
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,NaiveBayes,No Sampling,No Feature Selection,4.0,37.0,1796.0,23.0,0.0975609756097561,0.14814814814814814,0.7183932432159382,0.10192651248129221
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,RandomForest,No Sampling,No Feature Selection,4.0,0.0,1833.0,23.0,1.0,0.14814814814814814,0.705845507263947,0.25527470231878435
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,IBk,No Sampling,Feature Selection,0.0,3.0,1830.0,27.0,0.0,0.0,0.3865551312359823,-0.002911679068262725
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,NaiveBayes,No Sampling,Feature Selection,1.0,27.0,1806.0,26.0,0.03571428571428571,0.037037037037037035,0.6101614434947769,0.021907369924991697
tajo,2,0.6666666666666666,0.002956989247311828,0.014516129032258065,RandomForest,No Sampling,Feature Selection,0.0,3.0,1830.0,27.0,0.0,0.0,0.48308783415166395,-0.002911679068262725
tajo,2,0.011689691817215728,0.5,0.014516129032258065,IBk,UnderSampling,No Feature Selection,26.0,1823.0,10.0,1.0,0.014061654948620876,0.9629629629629629,0.6084035481198602,-9.222561110530879E-4
tajo,2,0.011689691817215728,0.5,0.014516129032258065,NaiveBayes,UnderSampling,No Feature Selection,5.0,56.0,1777.0,22.0,0.08196721311475409,0.18518518518518517,0.7032389727425188,0.0954322696494703
